,ParentProductNumber,ParentProductNumberSubs,prdictProbaMean,prdictProbaStd,countRows,rankMeanAndStd
0,161631,7290112497918,0.914340365416359,0.12425938558497,24,1
1,161631,161648,0.893615267636535,0.166344315509273,45,2
2,161631,72909799,0.884639300494691,0.178467866838948,86,3
3,161648,7290112497918,0.912253592516062,0.120611899488644,31,1
4,161648,72909799,0.900322932622404,0.154266657420146,68,2
5,161648,161631,0.882773294064154,0.175401966856885,71,3
6,170053,7290104720536,0.783292542990841,0.0778440284059913,11,1
7,170053,5197628,0.7839971387832,0.0896959583791067,15,2
8,170053,1814222,0.758579494371064,0.303384385143182,15,3
9,170077,5197635,0.858514629524099,0.0148682639944966,4,1
10,170077,178134,0.848809993788791,0.0340680954984188,12,2
11,170077,7290100852576,0.833585772960166,0.0589507160727825,21,3
12,170275,8753982,0.955188632334544,0.0043410984854702,6,1
13,170275,8750400,0.936775175760643,0.0229891821579658,4,2
14,170275,7290112351197,0.929557628861777,0.0172899770368071,4,3
15,171470,72917589,0.911313499480406,0.101409796243182,9,1
16,171470,72918388,0.854299295270179,0.126574513918162,7,2
17,171470,8747431,0.797523154349857,0.104124359091983,3,3
18,178134,5197635,0.940750039226414,0.00664056284711151,156,1
19,178134,7290100852576,0.938019607317197,0.0112313298857537,137,2
20,178134,170077,0.847195655248233,0.0131190986260364,55,3
21,179445,7290112335043,0.533398502318984,0.0579217823913713,3,1
22,179445,7290112335111,0.46225593949582,0.00873154120153504,6,2
23,179445,7290102035007,0.4281573327059,0.0239673901322859,7,3
24,180212,7290112351098,0.792480087326482,0.259183054391109,19,1
25,180212,7296073156628,0.499875534607349,0.118166832535447,30,2
26,180212,170077,0.570512863944957,0.330623489083753,139,3
27,490311,6681553,0.761271523989991,0.0107496799087908,11,1
28,490311,490779,0.626735090131548,0.0142885162979518,5,2
29,490779,6681553,0.750691988849084,0.00693010975550441,4,1
30,490779,6681560,0.70932107789766,0.00750016511667731,5,2
31,490779,490311,0.594121750128815,0.014463567628224,28,3
32,1814222,7290112349651,0.95715193056989,0.00291574572011702,3,1
33,1814222,7290112351197,0.952924448408648,0.00417076002695264,3,2
34,1814222,8750400,0.945226206270421,0.0238951306186175,5,3
