,,Correct,Correct
,,CountCorrect,AvgCorrect
Product,ProductSubs,,
161631,161648,45,0.9333333333333333
161631,7290112497918,24,0.9166666666666666
161631,72909799,86,0.8837209302325582
161648,161631,71,0.9859154929577465
161648,72909799,68,0.9411764705882353
161648,7290112497918,31,0.9354838709677419
170053,8750400,3,1.0
170053,7290107947992,4,1.0
170053,7290112349651,3,1.0
170077,170053,5,1.0
170077,5197635,4,1.0
170077,7290100852576,21,0.9047619047619048
170275,8747424,16,1.0
170275,8753982,6,1.0
170275,7290112351104,12,1.0
171470,7290105361707,54,0.9629629629629629
171470,7290106658479,14,0.9285714285714286
171470,72917367,48,0.875
178134,7290100852576,137,0.9781021897810219
178134,5197635,156,0.9487179487179487
178134,170077,55,0.8545454545454545
179445,7290106721906,5,1.0
179445,7290112335043,3,1.0
179445,7290102035007,7,0.8571428571428571
180212,7290112351098,19,0.8947368421052632
180212,170077,139,0.8273381294964028
180212,7296073156628,30,0.8
490311,6681553,11,0.8181818181818182
490311,490779,5,0.8
490779,6681560,5,1.0
490779,6681553,4,0.75
490779,490311,28,0.5357142857142857
1814222,8747424,23,1.0
1814222,8750400,5,1.0
1814222,7290112349651,3,1.0
1817063,7290111352935,30,0.4
1817063,8001003100164,13,0.38461538461538464
2752332,87108538,7,0.8571428571428571
2752332,87108712,5,0.8
2752332,87311396,24,0.75
2752349,87108019,9,0.8888888888888888
2752493,80050124,7,1.0
2752493,2753223,13,0.5384615384615384
2753223,80050025,4,0.5
3143276,7290016408294,14,1.0
3143276,7296073220480,4,1.0
3143276,7296073384144,3,1.0
3144068,3145539,35,0.9142857142857143
3144068,7290100852576,8,0.75
3144068,7290100859162,8,0.75
3144600,3145539,11,1.0
3144600,3144068,5,0.6
3144600,5197635,5,0.6
3145539,5197635,3,1.0
3145539,3144068,44,0.9090909090909091
3145539,7296073202479,3,0.6666666666666666
3423909,171470,7,1.0
3423909,40111216,3,1.0
3423909,5000159459228,9,1.0
3444009,40052403,9,1.0
3444009,72909799,3,1.0
3444009,72917367,4,1.0
3903955,170053,45,1.0
3903955,1814222,11,1.0
3903955,8747424,12,1.0
4014407,5000159020312,4,1.0
4014407,4043205,24,0.9583333333333334
4014407,40000494805,67,0.9402985074626866
4022309,4014407,21,0.8571428571428571
4022309,4043205,29,0.6896551724137931
4022309,40000514510,3,0.6666666666666666
4043108,4043205,86,0.8604651162790697
4043108,4022309,73,0.8356164383561644
4043108,40000514480,86,0.8255813953488372
4043205,4014407,17,1.0
4043205,4022309,31,0.8387096774193549
4043205,40000514510,38,0.7894736842105263
5197628,7290104720536,31,0.967741935483871
5197628,170053,38,0.868421052631579
5197628,7296073202493,40,0.65
5197635,7290104720536,5,1.0
5197635,7290100852576,84,0.9761904761904762
5197635,178134,51,0.9607843137254902
5199288,8754415,3,1.0
5199288,7290104060403,4,1.0
5199288,7290104068539,20,0.9
5199738,8754422,12,0.9166666666666666
5199738,8754415,8,0.625
5200908,170053,4,1.0
5200908,4000417222008,3,1.0
5200908,7290112351623,37,0.918918918918919
6681553,66318,3,1.0
6681553,490779,5,1.0
6681553,490311,467,0.5160599571734475
6681560,490311,30,0.6333333333333333
6681560,6681553,253,0.6047430830039525
6681560,490779,93,0.5268817204301075
8470759,4009900013581,14,0.7142857142857143
8470759,8470766,12,0.5
8470766,4009900385824,6,0.5
8470766,8470759,10,0.4
8747424,8750677,3,1.0
8747424,7290112348548,3,1.0
8747424,7290112349651,6,1.0
8747431,72917893,5,1.0
8747431,7290112348234,4,1.0
8747431,8747424,18,0.9444444444444444
8748384,7296073161493,4,1.0
8748384,170077,6,0.8333333333333334
8748384,7290105961525,78,0.8333333333333334
8750264,7290104060403,4,1.0
8750264,5199288,8,0.875
8750264,7290104068539,38,0.8157894736842105
8750400,8753982,4,1.0
8750400,4025700001962,4,1.0
8750400,7290112348548,26,1.0
8753982,1814222,7,1.0
8753982,8750400,13,1.0
8753982,7290112348548,4,1.0
8754415,5199288,3,1.0
8754415,5199738,11,0.9090909090909091
8754415,7290106721920,7,0.8571428571428571
8754422,5199738,19,1.0
8754422,8754415,10,0.8
8754422,8750264,3,0.6666666666666666
40052403,3800020491393,6,1.0
40052403,5000159459228,5,1.0
40052403,5000189974579,16,0.9375
40084107,8000500026731,9,1.0
40084107,80974482,24,0.8333333333333334
40084107,80768258,13,0.7692307692307693
40111216,5000159459228,4,1.0
40111216,5000159461122,8,1.0
40111216,5000159486972,3,1.0
40345123,2752332,4,1.0
40345123,40000514510,5,1.0
40345123,7613035500877,15,1.0
42101666,42306788,3,1.0
42182108,42182115,8,0.75
42182108,42188889,6,0.16666666666666666
42182108,4009900385824,4,0.0
42182115,42182108,4,1.0
42182115,42188889,4,0.75
42188889,4009900512350,7,0.5714285714285714
42188889,42182115,8,0.375
42212119,4009900385824,6,0.3333333333333333
50312351,161648,3,1.0
50312351,72909799,3,1.0
50312351,72917589,4,0.75
72909799,3800020491393,3,1.0
72909799,7290112495556,3,1.0
72909799,161631,88,0.8977272727272727
72917367,72917589,4,1.0
72917367,3800020423578,4,1.0
72917367,7290106658479,5,1.0
72917589,171470,8,1.0
72917589,8747431,3,1.0
72917589,72918388,6,1.0
72917893,72909799,3,1.0
72917893,72991008,5,1.0
72917893,7290106665491,11,0.7272727272727273
72918388,72917589,14,1.0
72918388,5000159459228,4,1.0
72918388,72917367,38,0.9473684210526315
72991008,72917893,19,0.8421052631578947
72993767,7290110567309,3,1.0
80001027,8000380106028,5,0.8
80001287,80001027,5,1.0
80001287,80001461,14,1.0
80001287,5000159461122,3,1.0
80001461,80001027,4,1.0
80001461,80001287,7,1.0
80001461,5000159461122,4,1.0
80050025,8000500338827,3,1.0
80050025,80936848,4,0.75
80050124,80936848,5,0.8
80050124,8000500338827,5,0.8
80050124,80050025,6,0.6666666666666666
80050278,4101730002718,3,1.0
80050278,5000159459228,3,1.0
80050278,8000500192801,38,0.9736842105263158
80052760,80177609,10,1.0
80052760,80177616,5,1.0
80052760,5000159461122,3,1.0
80136194,8000500167656,3,1.0
80136194,8000500023624,296,0.9527027027027027
80136194,8000500071083,8,0.5
80177609,80761761,3,1.0
80177609,9800800056,3,1.0
80177609,8000500167656,4,1.0
80177616,8000500071083,168,0.9523809523809523
80177616,80177609,59,0.8983050847457628
80177616,80310167,43,0.8837209302325582
80310167,80177616,101,0.8910891089108911
80310167,8000500167656,86,0.8255813953488372
80310167,8000500071083,110,0.8090909090909091
80761761,80177609,9,1.0
80761761,8000500249352,3,1.0
80761761,80052760,680,0.9632352941176471
80762362,80828174,5,1.0
80768258,80974482,13,0.8461538461538461
80768258,40084107,5,0.8
80768890,80850885,5,1.0
80768890,80804697,5,0.8
80769545,80948698,7,1.0
80769699,80850885,5,0.6
80773429,80913467,4,1.0
80773429,80790990,47,0.8936170212765957
80773429,80948698,9,0.8888888888888888
80773443,8754415,4,1.0
80773443,80850885,5,1.0
80773443,80790990,8,0.875
80776307,80790990,28,0.8571428571428571
80776307,80773429,5,0.8
80776307,80780595,3,0.6666666666666666
80780595,80773443,16,0.8125
80780595,80850885,3,0.6666666666666666
80780595,80794233,14,0.6428571428571429
80790990,80896081,6,0.8333333333333334
80790990,80769545,4,0.75
80790990,80773429,24,0.7083333333333334
80794233,80913467,19,0.6842105263157895
80794233,80780595,15,0.6666666666666666
80804697,80828174,5,1.0
80804697,80768890,6,0.5
80804697,7290112349897,3,0.0
80828174,80762362,16,0.6875
80831402,80854753,4,0.75
80850885,80762362,6,1.0
